Nodes,Num Cascades,Prob Infection,LP Objective Value,Rounded Objective Value,Fixed Cascades?,Sets Sampled,N_p,Budget
3080,1000,0.33,33.92800000001163,33.928, Y,1000,4,10
3080,1000,0.33,33.92700000001163,33.927, Y,1000,4,10
3080,1000,0.33,33.92200000001164,33.922, Y,1000,4,10
3080,1000,0.33,33.895000000011706,33.895, Y,1000,4,10
3080,1000,0.33,33.92000000001165,33.92, Y,1000,4,10
3080,1000,0.33,34.011000000011435,34.011, Y,2000,4,10
3080,1000,0.33,33.99100000001148,33.991, Y,2000,4,10
3080,1000,0.33,33.99600000001147,33.996, Y,2000,4,10
3080,1000,0.33,34.01200000001143,34.012, Y,2000,4,10
3080,1000,0.33,33.99100000001148,33.991, Y,2000,4,10
3080,1000,0.33,34.007000000011445,34.007, Y,3000,4,10
3080,1000,0.33,34.02100000001141,34.021, Y,3000,4,10
3080,1000,0.33,34.05100000001134,34.051, Y,3000,4,10
3080,1000,0.33,34.02200000001141,34.022, Y,3000,4,10
3080,1000,0.33,34.00000000001146,34, Y,3000,4,10
3080,1000,0.33,34.03000000001139,34.03, Y,4000,4,10
3080,1000,0.33,34.112,34.112, Y,4000,4,10
3080,1000,0.33,34.025,34.025, Y,4000,4,10
3080,1000,0.33,33.998000000011466,33.998, Y,4000,4,10
3080,1000,0.33,34.02900000001139,34.029, Y,4000,4,10
3080,1000,0.33,34.04300000001136,34.043, Y,5000,4,10
3080,1000,0.33,34.080000000011275,34.08, Y,5000,4,10
3080,1000,0.33,34.13200000001115,34.132, Y,5000,4,10
3080,1000,0.33,34.045000000011356,34.045, Y,5000,4,10
3080,1000,0.33,34.04400000001136,34.044, Y,5000,4,10
3080,1000,0.33,34.08700000001126,34.087, Y,6000,4,10
3080,1000,0.33,34.119000000011184,34.119, Y,6000,4,10
3080,1000,0.33,34.09400000001124,34.094, Y,6000,4,10
3080,1000,0.33,34.068,34.068, Y,6000,4,10
3080,1000,0.33,34.026,34.026, Y,6000,4,10
3080,1000,0.33,34.05300000001134,34.053, Y,8000,4,10
3080,1000,0.33,34.07,34.07, Y,8000,4,10
3080,1000,0.33,34.07,34.07, Y,8000,4,10
3080,1000,0.33,34.09200000001125,34.092, Y,8000,4,10
3080,1000,0.33,34.09200000001125,34.092, Y,8000,4,10
3080,1000,0.33,34.13300000001115,34.133, Y,10000,4,10
3080,1000,0.33,34.12000000001118,34.12, Y,10000,4,10
3080,1000,0.33,34.09500000001124,34.095, Y,10000,4,10
3080,1000,0.33,34.127000000011165,34.127, Y,10000,4,10
3080,1000,0.33,34.09400000001124,34.094, Y,10000,4,10
